image_id,dataset_idx,object_idx,layer,distance_bin,patch_count,cosine_distance,relative_l2
1296,11,2,21,ring_1,23,0.3151634633541107,0.6793304085731506
1296,11,2,21,near_2_4,54,0.08171497285366058,0.28022459149360657
1296,11,2,21,mid_5_8,98,0.053313322365283966,0.20354688167572021
1296,11,2,21,far_gt8,796,0.012208370491862297,0.09271230548620224
1296,11,2,22,inside,53,0.6773796677589417,1.1391589641571045
1296,11,2,22,ring_1,23,0.30858114361763,0.6726344227790833
1296,11,2,22,near_2_4,54,0.08365204930305481,0.28365811705589294
1296,11,2,22,mid_5_8,98,0.05180642381310463,0.2040674090385437
1296,11,2,22,far_gt8,796,0.012824548408389091,0.0963876023888588
1296,11,2,23,inside,53,0.6354015469551086,1.101048231124878
1296,11,2,23,ring_1,23,0.3041609227657318,0.6702796220779419
1296,11,2,23,near_2_4,54,0.08199147135019302,0.28471943736076355
1296,11,2,23,mid_5_8,98,0.05239488184452057,0.20629337430000305
1296,11,2,23,far_gt8,796,0.013577892445027828,0.10258056223392487
1296,11,2,24,inside,53,0.6441988945007324,1.1031062602996826
1296,11,2,24,ring_1,23,0.3148942291736603,0.6834287643432617
1296,11,2,24,near_2_4,54,0.09001343697309494,0.29654058814048767
1296,11,2,24,mid_5_8,98,0.055325765162706375,0.21405355632305145
1296,11,2,24,far_gt8,796,0.016019828617572784,0.11117708683013916
1296,11,2,25,inside,53,0.6173636317253113,1.0792105197906494
1296,11,2,25,ring_1,23,0.3087816536426544,0.6736984848976135
1296,11,2,25,near_2_4,54,0.09083241969347,0.3004850447177887
1296,11,2,25,mid_5_8,98,0.058789242058992386,0.22198033332824707
1296,11,2,25,far_gt8,796,0.017643973231315613,0.11856444925069809
1296,11,2,26,inside,53,0.6372369527816772,1.096190333366394
1296,11,2,26,ring_1,23,0.31653767824172974,0.6847570538520813
1296,11,2,26,near_2_4,54,0.09771928936243057,0.31380388140678406
1296,11,2,26,mid_5_8,98,0.06461159139871597,0.23711775243282318
1296,11,2,26,far_gt8,796,0.02040223591029644,0.1317896842956543
